game_id,filename,bytes,n_frames,gameId_field
894833673,battle_894833673.json,120525,251,894833673
894833674,battle_894833674.json,114725,239,894833674
894854371,battle_894854371.json,96455,205,894854371
894854372,battle_894854372.json,197994,425,894854372
894854395,battle_894854395.json,152326,327,894854395
894854396,battle_894854396.json,126023,269,894854396
894854413,battle_894854413.json,337278,679,894854413
894854414,battle_894854414.json,262610,523,894854414
894854448,battle_894854448.json,137648,297,894854448
894854449,battle_894854449.json,210995,455,894854449
894854473,battle_894854473.json,330707,707,894854473
894854474,battle_894854474.json,104737,225,894854474
894854536,battle_894854536.json,232600,487,894854536
894854537,battle_894854537.json,133796,279,894854537
894854559,battle_894854559.json,218438,475,894854559
894854560,battle_894854560.json,149670,327,894854560
894854645,battle_894854645.json,269747,573,894854645
894854646,battle_894854646.json,268696,563,894854646
894854733,battle_894854733.json,256987,547,894854733
894854734,battle_894854734.json,270589,569,894854734
894854803,battle_894854803.json,381528,815,894854803
894854804,battle_894854804.json,472226,1001,894854804
894854832,battle_894854832.json,200333,433,894854832
894854833,battle_894854833.json,160301,347,894854833
894854882,battle_894854882.json,216926,459,894854882
894854883,battle_894854883.json,268191,563,894854883
894854896,battle_894854896.json,322009,643,894854896
894854897,battle_894854897.json,193934,387,894854897
894854905,battle_894854905.json,117972,257,894854905
894854906,battle_894854906.json,351004,775,894854906
894854914,battle_894854914.json,122301,245,894854914
894854915,battle_894854915.json,162392,327,894854915
894854932,battle_894854932.json,169317,341,894854932
894854933,battle_894854933.json,230969,461,894854933
894854938,battle_894854938.json,247500,549,894854938
894854939,battle_894854939.json,227739,503,894854939
894854957,battle_894854957.json,123279,267,894854957
894854958,battle_894854958.json,135457,293,894854958
894854972,battle_894854972.json,97514,211,894854972
894854973,battle_894854973.json,100571,217,894854973
894854977,battle_894854977.json,157297,339,894854977
894854978,battle_894854978.json,144080,307,894854978
894855031,battle_894855031.json,313319,627,894855031
894855032,battle_894855032.json,396701,795,894855032
894855080,battle_894855080.json,249361,521,894855080
894855081,battle_894855081.json,280249,585,894855081
894855145,battle_894855145.json,119983,261,894855145
894855146,battle_894855146.json,133218,287,894855146
894855174,battle_894855174.json,113882,247,894855174
894855175,battle_894855175.json,113984,251,894855175
894855188,battle_894855188.json,371840,737,894855188
894855189,battle_894855189.json,375223,745,894855189
894855224,battle_894855224.json,188868,375,894855224
894855225,battle_894855225.json,281067,561,894855225
894855311,battle_894855311.json,188280,409,894855311
894855312,battle_894855312.json,172821,373,894855312
894855395,battle_894855395.json,293799,639,894855395
894855396,battle_894855396.json,256061,559,894855396
894855419,battle_894855419.json,200836,435,894855419
894855420,battle_894855420.json,273060,599,894855420
894855445,battle_894855445.json,171963,341,894855445
894855446,battle_894855446.json,138939,277,894855446
894855461,battle_894855461.json,192093,417,894855461
894855462,battle_894855462.json,234967,511,894855462
894855478,battle_894855478.json,270278,545,894855478
894855479,battle_894855479.json,285495,571,894855479
894855548,battle_894855548.json,269781,593,894855548
894855549,battle_894855549.json,193533,423,894855549
894855582,battle_894855582.json,209403,453,894855582
894855583,battle_894855583.json,352017,767,894855583
894855604,battle_894855604.json,252526,507,894855604
894855605,battle_894855605.json,204458,411,894855605
894855690,battle_894855690.json,200289,437,894855690
894855691,battle_894855691.json,106709,233,894855691
894855728,battle_894855728.json,320715,681,894855728
894855729,battle_894855729.json,238590,505,894855729
894855756,battle_894855756.json,113564,239,894855756
894855757,battle_894855757.json,170446,359,894855757
894855780,battle_894855780.json,94656,207,894855780
894855781,battle_894855781.json,169218,369,894855781
894855794,battle_894855794.json,331118,705,894855794
894855795,battle_894855795.json,334767,707,894855795
894855983,battle_894855983.json,253278,551,894855983
894855984,battle_894855984.json,229381,495,894855984
894855996,battle_894855996.json,233556,517,894855996
894855997,battle_894855997.json,279077,615,894855997
894856026,battle_894856026.json,143600,311,894856026
894856027,battle_894856027.json,127857,281,894856027
894856051,battle_894856051.json,139895,291,894856051
894856052,battle_894856052.json,247965,511,894856052
894856069,battle_894856069.json,366845,799,894856069
894856070,battle_894856070.json,254478,551,894856070
894856080,battle_894856080.json,282162,557,894856080
894856081,battle_894856081.json,394630,785,894856081
894856092,battle_894856092.json,246894,515,894856092
894856093,battle_894856093.json,236009,493,894856093
894856114,battle_894856114.json,301379,601,894856114
894856115,battle_894856115.json,378437,745,894856115
894856275,battle_894856275.json,266605,577,894856275
894856276,battle_894856276.json,247832,537,894856276
894856550,battle_894856550.json,146430,317,894856550
894856551,battle_894856551.json,119383,259,894856551
894856575,battle_894856575.json,172736,343,894856575
894856576,battle_894856576.json,332530,663,894856576
894856622,battle_894856622.json,134551,289,894856622
894856623,battle_894856623.json,107761,233,894856623
894856639,battle_894856639.json,106169,231,894856639
894856640,battle_894856640.json,130616,283,894856640
894856658,battle_894856658.json,193225,421,894856658
894856659,battle_894856659.json,111323,243,894856659
894856725,battle_894856725.json,269490,581,894856725
894856726,battle_894856726.json,229758,495,894856726
894856744,battle_894856744.json,325891,691,894856744
894856745,battle_894856745.json,107489,229,894856745
894856767,battle_894856767.json,145445,321,894856767
894856768,battle_894856768.json,165213,361,894856768
894910761,battle_894910761.json,130858,281,894910761
894910762,battle_894910762.json,145314,311,894910762
894923548,battle_894923548.json,253204,529,894923548
894923549,battle_894923549.json,214222,445,894923549
894937682,battle_894937682.json,84361,175,894937682
894937683,battle_894937683.json,135602,281,894937683
894984635,battle_894984635.json,74920,163,894984635
894984636,battle_894984636.json,72750,159,894984636
894984721,battle_894984721.json,243892,509,894984721
894984722,battle_894984722.json,286889,601,894984722
894989316,battle_894989316.json,197350,431,894989316
894989317,battle_894989317.json,224126,491,894989317
894990175,battle_894990175.json,139723,287,894990175
