battle_file,first_fail_turn,total_turns,progress_pct,error_types,error_summary
battle_884515945.json,9,322,2.8,checkpoint|timeout,"pod0 next_cp sim=2(mod=2) gt=1; timeouts sim=(100, 90) gt=(90, 90)"
battle_884486784.json,20,491,4.1,angle|velocity,"pod2 vel sim=(79,-126) gt=(80,-121); pod2 angle sim=162.7° gt=160.8°"
battle_885988689.json,21,251,8.4,angle,pod3 angle sim=-15.5° gt=-16.8°
battle_891617954.json,33,153,21.6,checkpoint|timeout,"pod2 next_cp sim=6(mod=2) gt=1; timeouts sim=(91, 100) gt=(91, 92)"
battle_891370461.json,38,383,9.9,position,"pod1 pos sim=(5281,2542) gt=(5273,2547) Δ=(8.0,-5.0)"
battle_884278521.json,39,256,15.2,checkpoint|timeout,"pod1 next_cp sim=5(mod=5) gt=4; timeouts sim=(100, 92) gt=(91, 92)"
battle_883531319.json,43,251,17.1,checkpoint|timeout,"pod2 next_cp sim=3(mod=3) gt=2; timeouts sim=(89, 100) gt=(89, 98)"
battle_872334774.json,59,168,35.1,checkpoint|timeout,"pod2 next_cp sim=4(mod=0) gt=1; timeouts sim=(92, 92) gt=(92, 100)"
battle_886369830.json,59,148,39.9,checkpoint|timeout,"pod1 next_cp sim=6(mod=0) gt=2; timeouts sim=(100, 94) gt=(88, 94)"
battle_872238192.json,60,199,30.2,checkpoint|timeout,"pod1 next_cp sim=4(mod=0) gt=3; timeouts sim=(100, 95) gt=(88, 95)"
battle_885987701.json,61,184,33.2,angle,pod1 angle sim=-89.4° gt=-88.1°
battle_886469116.json,64,273,23.4,position,"pod2 pos sim=(4837,6096) gt=(4835,6103) Δ=(2.0,-7.0)"
battle_885912413.json,69,70,98.6,position|velocity,"pod1 pos sim=(5939,2211) gt=(6013,2073) Δ=(-74.0,138.0); pod1 vel sim=(-34,110) gt=(52,-52); pod2 pos sim=(13129,7601) gt=(13084,7406) Δ=(45.0,195.0)"
